a	63108
in	19051
the	18453
on	10804
is	9353
and	8877
dog	8111
with	7784
man	7233
of	6739
two	5659
white	3965
black	3853
boy	3580
are	3525
woman	3326
girl	3317
to	3192
wearing	3057
at	2912
people	2900
water	2826
red	2707
young	2641
brown	2581
an	2435
his	2355
blue	2285
dogs	2145
running	2075
through	2035
playing	2020
while	1971
shirt	1970
down	1849
ball	1817
standing	1792
little	1776
grass	1622
snow	1596
child	1528
person	1525
jumping	1474
over	1423
three	1395
front	1386
sitting	1370
up	1343
holding	1323
field	1288
small	1279
by	1248
large	1239
green	1235
group	1223
yellow	1221
one	1220
air	1212
her	1176
walking	1165
children	1154
men	1114
into	1066
beach	1051
near	1025
mouth	986
jumps	980
another	956
for	951
street	948
runs	923
from	920
riding	911
bike	880
stands	870
as	869
girls	857
outside	792
other	770
off	768
out	765
play	755
rock	753
next	751
looking	748
orange	748
pink	741
player	728
camera	699
their	699
women	696
hat	695
pool	690
jacket	676
boys	671
around	648
behind	632
its	630
some	629
dirt	591
background	590
soccer	584
toy	581
sits	577
mountain	572
dressed	571
has	562
walks	553
wall	548
crowd	531
along	529
plays	526
stand	524
looks	514
building	509
climbing	509
park	508
four	499
top	499
face	487
football	483
across	476
grassy	474
holds	472
sand	469
stick	467
smiling	464
ocean	459
rides	454
hill	451
swimming	446
doing	435
carrying	434
each	431
tennis	429
tree	427
car	426
snowy	421
back	421
skateboard	421
baby	420
bicycle	416
picture	416
together	414
hair	413
race	410
head	409
jump	407
him	405
it	401
area	398
road	398
tan	395
that	387
trick	386
swing	382
shorts	380
basketball	379
bench	375
game	370
run	370
covered	370
catch	368
sidewalk	368
ground	361
sit	361
hand	357
helmet	357
dress	353
kids	347
something	346
frisbee	342
fence	340
being	338
lake	332
walk	331
path	325
side	323
track	320
city	319
ramp	319
wave	317
several	317
long	315
purple	312
skateboarder	310
slide	303
there	303
baseball	296
it's	295
high	294
posing	291
suit	289
players	288
boat	285
wooden	284
big	279
watches	275
sunglasses	273
coat	270
uniform	269
dark	269
rocks	263
them	261
trees	261
ride	261
look	260
pants	260
table	258
rope	256
under	255
grey	253
watching	251
motorcycle	250
hands	249
arms	249
couple	247
towards	247
beside	247
rocky	245
sign	244
watch	243
river	236
does	231
horse	229
above	228
older	226
racing	226
jeans	225
colored	225
snowboarder	223
ice	222
lady	221
striped	220
pose	218
colorful	218
yard	217
onto	212
who	212
woods	211
glasses	210
guy	210
wet	209
leaps	204
taking	204
haired	204
mountains	204
he	203
asian	203
against	203
blonde	201
climbs	201
board	201
playground	200
collar	198
performing	196
hockey	195
cap	195
blond	194
bird	194
cliff	193
smiles	192
surfer	192
body	192
team	191
open	191
skier	189
laying	189
chasing	187
many	186
after	185
rider	184
kid	181
fountain	180
surrounded	178
inside	175
mid	175
old	174
flying	174
during	174
outdoors	174
biker	173
brick	173
others	172
shore	172
light	172
away	170
takes	170
edge	170
guitar	168
toddler	167
hanging	165
middle	165
five	164
night	164
trying	164
very	163
forest	160
outfit	159
floor	158
gray	158
bed	157
talking	157
pole	157
nearby	156
object	155
making	155
steps	154
line	153
flowers	153
about	152
whilst	152
t	151
backpack	150
going	149
arm	149
past	148
toward	147
sky	147
swinging	146
tall	146
dancing	146
trail	146
someone	145
eating	144
waves	142
this	142
poses	142
leaves	141
bridge	141
all	140
chair	139
leaping	139
window	138
bag	138
day	138
outdoor	137
legs	135
room	135
course	134
clothes	134
house	134
fighting	134
costume	132
phone	132
skiing	131
clothing	131
plastic	131
